"product_id_1","product_1","product_id_2","product_2","times_ordered_together"
24,"Potato 1kg",30,"Peanut 500g",20
8,"Farm Fresh Milk 1L",24,"Potato 1kg",20
1,"Miniket Rice 5kg",40,"Power Bank 10000mAh",18
9,"Bru Coffee 200g",12,"Oral Saline (ORS)",17
9,"Bru Coffee 200g",40,"Power Bank 10000mAh",17
23,"Onion 1kg",34,"Shoes Polish",17
7,"Deshi Egg (12 pcs)",22,"GP Internet Pack",16
5,"ACI Pure Salt 1kg",8,"Farm Fresh Milk 1L",16
12,"Oral Saline (ORS)",36,"T-shirt (Women)",15
30,"Peanut 500g",31,"Water Bottle 1L",15
1,"Miniket Rice 5kg",3,"Rupchanda Soyabean Oil 1L",15
28,"Biscuits (Mixed)",33,"Sprite 1L",15
27,"Flour (Atta) 2kg",37,"Cap",15
2,"Nazirshail Rice 5kg",23,"Onion 1kg",15
10,"Taaza Black Tea 400g",28,"Biscuits (Mixed)",14
6,"Broiler Chicken (whole)",14,"Wheel Washing Powder 1kg",14
15,"Lifebuoy Soap 100g",37,"Cap",14
8,"Farm Fresh Milk 1L",25,"Green Chili 100g",14
20,"Banglalink Internet Pack",40,"Power Bank 10000mAh",14
17,"Sunsilk Shampoo 180ml",25,"Green Chili 100g",14
6,"Broiler Chicken (whole)",33,"Sprite 1L",14
15,"Lifebuoy Soap 100g",39,"Ladies Bag",14
9,"Bru Coffee 200g",27,"Flour (Atta) 2kg",14
7,"Deshi Egg (12 pcs)",36,"T-shirt (Women)",14
14,"Wheel Washing Powder 1kg",32,"Pepsi 1L",14
18,"Clear Men Shampoo 180ml",26,"Lentil (Dal) 1kg",14
10,"Taaza Black Tea 400g",12,"Oral Saline (ORS)",14
15,"Lifebuoy Soap 100g",21,"Robi Internet Pack",14
4,"Fresh Sugar 1kg",33,"Sprite 1L",14
13,"Vim Dishwashing Bar",30,"Peanut 500g",14
20,"Banglalink Internet Pack",24,"Potato 1kg",14
10,"Taaza Black Tea 400g",35,"T-shirt (Men)",14
2,"Nazirshail Rice 5kg",33,"Sprite 1L",13
32,"Pepsi 1L",41,"Earphones",13
18,"Clear Men Shampoo 180ml",20,"Banglalink Internet Pack",13
2,"Nazirshail Rice 5kg",35,"T-shirt (Men)",13
18,"Clear Men Shampoo 180ml",38,"Wallet (Men)",13
33,"Sprite 1L",36,"T-shirt (Women)",13
15,"Lifebuoy Soap 100g",18,"Clear Men Shampoo 180ml",13
19,"Bashundhara Tissue",27,"Flour (Atta) 2kg",13
1,"Miniket Rice 5kg",2,"Nazirshail Rice 5kg",13
1,"Miniket Rice 5kg",13,"Vim Dishwashing Bar",13
3,"Rupchanda Soyabean Oil 1L",32,"Pepsi 1L",13
18,"Clear Men Shampoo 180ml",31,"Water Bottle 1L",13
8,"Farm Fresh Milk 1L",15,"Lifebuoy Soap 100g",13
9,"Bru Coffee 200g",35,"T-shirt (Men)",13
15,"Lifebuoy Soap 100g",41,"Earphones",13
11,"Horlicks 500g",41,"Earphones",13
16,"Lux Soap 100g",28,"Biscuits (Mixed)",13
