"product_id","product_name","total_sold","available_stock","initial_stock"
40,"Power Bank 10000mAh",193,-103.00,90
38,"Wallet (Men)",178,-28.00,150
11,"Horlicks 500g",182,-2.00,180
9,"Bru Coffee 200g",199,1.00,200
39,"Ladies Bag",119,31.00,150
34,"Shoes Polish",158,42.00,200
6,"Broiler Chicken (whole)",154,46.00,200
7,"Deshi Egg (12 pcs)",192,58.00,250
37,"Cap",141,59.00,200
18,"Clear Men Shampoo 180ml",188,62.00,250
36,"T-shirt (Women)",165,85.00,250
2,"Nazirshail Rice 5kg",206,94.00,300
35,"T-shirt (Men)",173,127.00,300
17,"Sunsilk Shampoo 180ml",153,147.00,300
41,"Earphones",145,155.00,300
25,"Green Chili 100g",142,158.00,300
30,"Peanut 500g",156,194.00,350
27,"Flour (Atta) 2kg",178,222.00,400
8,"Farm Fresh Milk 1L",148,252.00,400
33,"Sprite 1L",178,322.00,500
4,"Fresh Sugar 1kg",176,324.00,500
32,"Pepsi 1L",165,335.00,500
26,"Lentil (Dal) 1kg",163,337.00,500
14,"Wheel Washing Powder 1kg",154,346.00,500
10,"Taaza Black Tea 400g",151,349.00,500
1,"Miniket Rice 5kg",147,353.00,500
23,"Onion 1kg",164,436.00,600
5,"ACI Pure Salt 1kg",153,447.00,600
19,"Bashundhara Tissue",139,561.00,700
3,"Rupchanda Soyabean Oil 1L",175,625.00,800
24,"Potato 1kg",199,701.00,900
13,"Vim Dishwashing Bar",161,739.00,900
29,"Chanachur 200g",156,744.00,900
21,"Robi Internet Pack",186,813.00,999
22,"GP Internet Pack",158,841.00,999
20,"Banglalink Internet Pack",139,860.00,999
16,"Lux Soap 100g",134,966.00,1100
15,"Lifebuoy Soap 100g",227,973.00,1200
28,"Biscuits (Mixed)",160,1040.00,1200
12,"Oral Saline (ORS)",178,1822.00,2000
31,"Water Bottle 1L",169,1831.00,2000
