"category","gender","completed_orders","order_quantity","total_revenue"
"Beverages","Female",146,434,60420
"Beverages","Male",161,428,62155
"Dairy","Female",26,65,5850
"Dairy","Male",39,83,7470
"Digital","Female",69,186,23494
"Digital","Male",109,297,37803
"Electronics","Female",60,159,92950
"Electronics","Male",73,179,126650
"Fashion","Female",120,347,131840
"Fashion","Male",159,429,159830
"Grocery","Female",214,751,120587
"Grocery","Male",268,952,167907
"Health","Female",67,185,50424
"Health","Male",76,175,39072
"Home Care","Female",76,196,10460
"Home Care","Male",92,258,14670
"Meat","Female",32,71,16330
"Meat","Male",39,83,19090
"Personal Care","Female",134,401,43554
"Personal Care","Male",161,459,51172
"Poultry","Female",36,104,16640
"Poultry","Male",33,88,14080
"Snacks","Female",88,223,12540
"Snacks","Male",91,249,15620
