"pay_method","order_status","no_of_orders","rate_of_status"
"bKash","Cancelled",73,20.92
"bKash","Completed",202,57.88
"bKash","Pending",74,21.20
"COD","Cancelled",97,19.88
"COD","Completed",300,61.48
"COD","Pending",91,18.65
"Credit Card","Cancelled",11,16.92
"Credit Card","Completed",39,60.00
"Credit Card","Pending",15,23.08
"Debit Card","Cancelled",18,28.57
"Debit Card","Completed",35,55.56
"Debit Card","Pending",10,15.87
"Nagad","Cancelled",47,20.00
"Nagad","Completed",137,58.30
"Nagad","Pending",51,21.70
