"product_id_1","product_1","product_id_2","product_2","times_ordered_together"
8,"Farm Fresh Milk 1L",24,"Potato 1kg",14
18,"Clear Men Shampoo 180ml",31,"Water Bottle 1L",12
1,"Miniket Rice 5kg",3,"Rupchanda Soyabean Oil 1L",11
17,"Sunsilk Shampoo 180ml",25,"Green Chili 100g",11
1,"Miniket Rice 5kg",40,"Power Bank 10000mAh",11
19,"Bashundhara Tissue",35,"T-shirt (Men)",10
18,"Clear Men Shampoo 180ml",26,"Lentil (Dal) 1kg",10
4,"Fresh Sugar 1kg",12,"Oral Saline (ORS)",10
15,"Lifebuoy Soap 100g",40,"Power Bank 10000mAh",10
9,"Bru Coffee 200g",40,"Power Bank 10000mAh",10
7,"Deshi Egg (12 pcs)",36,"T-shirt (Women)",10
18,"Clear Men Shampoo 180ml",29,"Chanachur 200g",10
6,"Broiler Chicken (whole)",14,"Wheel Washing Powder 1kg",10
11,"Horlicks 500g",15,"Lifebuoy Soap 100g",10
32,"Pepsi 1L",38,"Wallet (Men)",10
9,"Bru Coffee 200g",12,"Oral Saline (ORS)",10
6,"Broiler Chicken (whole)",24,"Potato 1kg",10
3,"Rupchanda Soyabean Oil 1L",32,"Pepsi 1L",10
9,"Bru Coffee 200g",35,"T-shirt (Men)",10
10,"Taaza Black Tea 400g",12,"Oral Saline (ORS)",10
21,"Robi Internet Pack",38,"Wallet (Men)",9
1,"Miniket Rice 5kg",15,"Lifebuoy Soap 100g",9
20,"Banglalink Internet Pack",35,"T-shirt (Men)",9
32,"Pepsi 1L",41,"Earphones",9
6,"Broiler Chicken (whole)",11,"Horlicks 500g",9
7,"Deshi Egg (12 pcs)",22,"GP Internet Pack",9
2,"Nazirshail Rice 5kg",35,"T-shirt (Men)",9
8,"Farm Fresh Milk 1L",25,"Green Chili 100g",9
15,"Lifebuoy Soap 100g",37,"Cap",9
4,"Fresh Sugar 1kg",6,"Broiler Chicken (whole)",9
3,"Rupchanda Soyabean Oil 1L",12,"Oral Saline (ORS)",9
9,"Bru Coffee 200g",28,"Biscuits (Mixed)",9
15,"Lifebuoy Soap 100g",18,"Clear Men Shampoo 180ml",9
11,"Horlicks 500g",41,"Earphones",9
18,"Clear Men Shampoo 180ml",28,"Biscuits (Mixed)",9
2,"Nazirshail Rice 5kg",38,"Wallet (Men)",9
5,"ACI Pure Salt 1kg",8,"Farm Fresh Milk 1L",9
9,"Bru Coffee 200g",11,"Horlicks 500g",9
21,"Robi Internet Pack",33,"Sprite 1L",9
10,"Taaza Black Tea 400g",28,"Biscuits (Mixed)",9
16,"Lux Soap 100g",32,"Pepsi 1L",9
24,"Potato 1kg",30,"Peanut 500g",9
30,"Peanut 500g",38,"Wallet (Men)",9
23,"Onion 1kg",34,"Shoes Polish",9
2,"Nazirshail Rice 5kg",23,"Onion 1kg",9
26,"Lentil (Dal) 1kg",40,"Power Bank 10000mAh",9
4,"Fresh Sugar 1kg",33,"Sprite 1L",9
15,"Lifebuoy Soap 100g",23,"Onion 1kg",9
36,"T-shirt (Women)",40,"Power Bank 10000mAh",8
19,"Bashundhara Tissue",23,"Onion 1kg",8
13,"Vim Dishwashing Bar",15,"Lifebuoy Soap 100g",8
10,"Taaza Black Tea 400g",40,"Power Bank 10000mAh",8
2,"Nazirshail Rice 5kg",18,"Clear Men Shampoo 180ml",8
4,"Fresh Sugar 1kg",35,"T-shirt (Men)",8
18,"Clear Men Shampoo 180ml",36,"T-shirt (Women)",8
15,"Lifebuoy Soap 100g",41,"Earphones",8
15,"Lifebuoy Soap 100g",33,"Sprite 1L",8
33,"Sprite 1L",35,"T-shirt (Men)",8
