"product_id_1","product_1","product_id_2","product_2","times_ordered_together","total_revenue"
1,"Miniket Rice 5kg",40,"Power Bank 10000mAh",11,35050
9,"Bru Coffee 200g",40,"Power Bank 10000mAh",10,29150
26,"Lentil (Dal) 1kg",40,"Power Bank 10000mAh",9,26870
14,"Wheel Washing Powder 1kg",40,"Power Bank 10000mAh",8,26410
15,"Lifebuoy Soap 100g",40,"Power Bank 10000mAh",10,26334
38,"Wallet (Men)",40,"Power Bank 10000mAh",7,26000
36,"T-shirt (Women)",40,"Power Bank 10000mAh",8,25460
10,"Taaza Black Tea 400g",40,"Power Bank 10000mAh",8,24700
2,"Nazirshail Rice 5kg",38,"Wallet (Men)",9,22970
29,"Chanachur 200g",40,"Power Bank 10000mAh",7,22530
24,"Potato 1kg",40,"Power Bank 10000mAh",8,21460
3,"Rupchanda Soyabean Oil 1L",40,"Power Bank 10000mAh",7,20850
35,"T-shirt (Men)",40,"Power Bank 10000mAh",6,20700
2,"Nazirshail Rice 5kg",35,"T-shirt (Men)",9,20360
6,"Broiler Chicken (whole)",40,"Power Bank 10000mAh",6,20320
20,"Banglalink Internet Pack",40,"Power Bank 10000mAh",7,19634
9,"Bru Coffee 200g",11,"Horlicks 500g",9,19290
21,"Robi Internet Pack",40,"Power Bank 10000mAh",7,19035
1,"Miniket Rice 5kg",3,"Rupchanda Soyabean Oil 1L",11,17500
13,"Vim Dishwashing Bar",40,"Power Bank 10000mAh",5,17485
1,"Miniket Rice 5kg",2,"Nazirshail Rice 5kg",6,17460
11,"Horlicks 500g",38,"Wallet (Men)",7,17250
2,"Nazirshail Rice 5kg",9,"Bru Coffee 200g",7,16860
2,"Nazirshail Rice 5kg",40,"Power Bank 10000mAh",5,16690
28,"Biscuits (Mixed)",40,"Power Bank 10000mAh",6,16410
23,"Onion 1kg",40,"Power Bank 10000mAh",6,16160
6,"Broiler Chicken (whole)",11,"Horlicks 500g",9,16080
2,"Nazirshail Rice 5kg",39,"Ladies Bag",6,15800
9,"Bru Coffee 200g",35,"T-shirt (Men)",10,15640
2,"Nazirshail Rice 5kg",22,"GP Internet Pack",7,15311
11,"Horlicks 500g",36,"T-shirt (Women)",7,15280
2,"Nazirshail Rice 5kg",10,"Taaza Black Tea 400g",8,15240
21,"Robi Internet Pack",38,"Wallet (Men)",9,14733
32,"Pepsi 1L",38,"Wallet (Men)",10,14550
2,"Nazirshail Rice 5kg",23,"Onion 1kg",9,14320
15,"Lifebuoy Soap 100g",39,"Ladies Bag",8,13960
40,"Power Bank 10000mAh",41,"Earphones",5,13950
1,"Miniket Rice 5kg",11,"Horlicks 500g",6,13950
30,"Peanut 500g",38,"Wallet (Men)",9,13890
11,"Horlicks 500g",41,"Earphones",9,13890
36,"T-shirt (Women)",39,"Ladies Bag",6,13880
18,"Clear Men Shampoo 180ml",40,"Power Bank 10000mAh",6,13870
2,"Nazirshail Rice 5kg",18,"Clear Men Shampoo 180ml",8,13820
12,"Oral Saline (ORS)",40,"Power Bank 10000mAh",6,13516
8,"Farm Fresh Milk 1L",40,"Power Bank 10000mAh",5,13430
2,"Nazirshail Rice 5kg",11,"Horlicks 500g",6,13080
2,"Nazirshail Rice 5kg",4,"Fresh Sugar 1kg",6,12960
2,"Nazirshail Rice 5kg",3,"Rupchanda Soyabean Oil 1L",6,12685
7,"Deshi Egg (12 pcs)",36,"T-shirt (Women)",10,12460
33,"Sprite 1L",39,"Ladies Bag",6,12310
39,"Ladies Bag",40,"Power Bank 10000mAh",3,12150
11,"Horlicks 500g",27,"Flour (Atta) 2kg",8,12060
17,"Sunsilk Shampoo 180ml",40,"Power Bank 10000mAh",4,12050
2,"Nazirshail Rice 5kg",27,"Flour (Atta) 2kg",7,11860
32,"Pepsi 1L",39,"Ladies Bag",6,11775
2,"Nazirshail Rice 5kg",29,"Chanachur 200g",7,11760
26,"Lentil (Dal) 1kg",39,"Ladies Bag",6,11760
35,"T-shirt (Men)",36,"T-shirt (Women)",8,11740
