"product_name","category","total_revenue"
"Power Bank 10000mAh","Electronics",183350
"Nazirshail Rice 5kg","Grocery",107120
"Horlicks 500g","Health",87360
"Wallet (Men)","Fashion",80100
"Ladies Bag","Fashion",71400
"Miniket Rice 5kg","Grocery",66150
"Bru Coffee 200g","Beverages",65670
"T-shirt (Women)","Fashion",62700
"T-shirt (Men)","Fashion",60550
"Earphones","Electronics",36250
"Clear Men Shampoo 180ml","Personal Care",35720
"Broiler Chicken (whole)","Meat",35420
"Deshi Egg (12 pcs)","Poultry",30720
"Rupchanda Soyabean Oil 1L","Grocery",30625
"Taaza Black Tea 400g","Beverages",28690
"Sunsilk Shampoo 180ml","Personal Care",24480
"Robi Internet Pack","Digital",23994
"GP Internet Pack","Digital",23542
"Shoes Polish","Personal Care",20540
"Flour (Atta) 2kg","Grocery",19580
"Lentil (Dal) 1kg","Grocery",19560
"Peanut 500g","Snacks",18720
"Cap","Fashion",16920
"Fresh Sugar 1kg","Grocery",16720
"Wheel Washing Powder 1kg","Home Care",14630
"Banglalink Internet Pack","Digital",13761
"Farm Fresh Milk 1L","Dairy",13320
"Onion 1kg","Grocery",13120
"Sprite 1L","Beverages",12460
"Pepsi 1L","Beverages",12375
"Lifebuoy Soap 100g","Personal Care",8626
"Potato 1kg","Grocery",6965
"Chanachur 200g","Snacks",6240
"ACI Pure Salt 1kg","Grocery",5814
"Vim Dishwashing Bar","Home Care",5635
"Lux Soap 100g","Personal Care",5360
"Bashundhara Tissue","Home Care",4865
"Water Bottle 1L","Beverages",3380
"Biscuits (Mixed)","Snacks",3200
"Green Chili 100g","Grocery",2840
"Oral Saline (ORS)","Health",2136
